index,Order ID,Date,Status,Fulfilment,Sales Channel,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,,
26,403-9230474-9657916,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,299,BILASPUR,CHHATTISGARH,495001,IN,FALSE,Easy Ship,06-13-25,1140
27,408-3484251-6901959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,4XL,Shipped,1,INR,459,PUNE,MAHARASHTRA,411052,IN,FALSE,,06-13-25,1140
28,405-7755803-4729935,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,399,BENGALURU,KARNATAKA,560037,IN,FALSE,,06-13-25,1140
29,404-5933402-8801952,04-30-22,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,,,GUWAHATI,ASSAM,781003,IN,FALSE,Easy Ship,06-13-25,1140
30,171-9040274-9291563,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,791,THIRUVARUR,TAMIL NADU,613704,IN,FALSE,,06-13-25,1140
31,403-7056319-0979561,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226010,IN,FALSE,,06-13-25,1140
32,404-9632124-1107550,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1233,VISAKHAPATNAM,ANDHRA PRADESH,530016,IN,FALSE,Easy Ship,06-13-25,1140
33,402-1465437-0579556,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,517,JEYPUR,ODISHA,764001,IN,FALSE,Easy Ship,06-13-25,1140
34,404-7774085-3780319,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,376,HYDERABAD,TELANGANA,500028,IN,FALSE,,06-13-25,1140
35,402-2764952-1492318,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,499,LUCKNOW,UTTAR PRADESH,226016,IN,FALSE,Easy Ship,06-13-25,1140
36,406-0272200-7784379,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,666,CHENNAI,TAMIL NADU,600033,IN,FALSE,,06-13-25,1140
37,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,487,NEW DELHI,DELHI,110092,IN,FALSE,,06-13-25,1140
38,403-4367956-2849158,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,368,NEW DELHI,DELHI,110092,IN,FALSE,,06-13-25,1140
39,403-4242957-8599555,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,THIRUVANANTHAPURAM,KERALA,695011,IN,FALSE,,06-13-25,1140
40,408-7165704-5643524,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Perfume,XXL,Shipped,1,INR,699,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,,06-13-25,1140
41,402-8210765-3935569,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,885,JABALPUR,MADHYA PRADESH,482002,IN,FALSE,,06-13-25,1140
42,406-7398201-3869914,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,424,MUMBAI,MAHARASHTRA,400092,IN,FALSE,Easy Ship,06-13-25,1140
43,408-3478480-0881162,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1126,LUCKNOW,UTTAR PRADESH,226017,IN,FALSE,,06-13-25,1140
44,402-7595162-9129931,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,MUMBAI,MAHARASHTRA,400076,IN,FALSE,,06-13-25,1140
45,171-6876154-6233146,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,759,KOLKATA,WEST BENGAL,700014,IN,FALSE,,06-13-25,1140
46,408-3917043-5314763,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,1146,ONGOLE,ANDHRA PRADESH,523001,IN,FALSE,,06-13-25,1140
47,408-9281152-6213100,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,S,Shipped,1,INR,665,SECUNDERABAD,TELANGANA,500017,IN,FALSE,,06-13-25,1140
48,403-3496411-3082707,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,429,HYDERABAD,TELANGANA,500062,IN,FALSE,,06-13-25,1140
49,171-9208368-0157156,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,M,Shipped,1,INR,399,KEWALPUR,UTTAR PRADESH,271881,IN,FALSE,Easy Ship,06-13-25,1140
50,408-2137113-0982751,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,848,CUTTACK,ODISHA,753012,IN,FALSE,,06-13-25,1140
51,402-3628566-9688333,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,654,BADLAPUR,MAHARASHTRA,421503,IN,FALSE,,06-13-25,1140
52,408-7138000-9728362,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1033,dimapur,NAGALAND,797112,IN,FALSE,,06-13-25,1140
53,402-1752649-2274748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,390,BENGALURU,KARNATAKA,560047,IN,FALSE,,06-13-25,1140
54,402-7944191-1869101,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,493,BENGALURU,KARNATAKA,560076,IN,FALSE,,06-13-25,1140
55,407-4063876-9566742,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,S,Shipped,1,INR,721,WARANGAL,TELANGANA,506001,IN,FALSE,,06-13-25,1140
56,403-0752752-4656334,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,DHAULPUR,RAJASTHAN,328024,IN,FALSE,,06-13-25,1140
57,406-8879861-2081117,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,399,GUWAHATI,ASSAM,781029,IN,FALSE,,06-13-25,1140
58,406-8089333-7941903,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,Bengaluru,KARNATAKA,560103,IN,FALSE,,06-13-25,1140
59,171-3072652-6805159,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,353,HYDERABAD,TELANGANA,500072,IN,FALSE,,06-13-25,1140
60,171-2592464-6846743,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,599,BENGALURU,KARNATAKA,560023,IN,FALSE,Easy Ship,06-13-25,1140
61,404-2262140-4696366,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,518,NAGPUR,MAHARASHTRA,440022,IN,FALSE,,06-13-25,1140
62,404-2262140-4696366,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,295,NAGPUR,MAHARASHTRA,440022,IN,FALSE,,06-13-25,1140
63,405-3594372-1614709,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE,,06-13-25,1140
64,407-2974257-4781134,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,824,THANE,MAHARASHTRA,400607,IN,FALSE,,06-13-25,1140
65,171-4137548-0481151,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,XXL,Cancelled,0,,,Dahod,Gujarat,389151,IN,FALSE,,06-13-25,1140
66,405-4461562-9113959,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,909,RANCHI,JHARKHAND,834004,IN,FALSE,,06-13-25,1140
67,404-4535078-5241919,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,L,Shipped,1,INR,432,PUNE,MAHARASHTRA,411014,IN,FALSE,,06-13-25,1140
68,405-8387725-2971512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,545,BENGALURU,KARNATAKA,560040,IN,FALSE,,06-13-25,1140
69,405-6480932-8759528,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1146,VIJAPURA,KARNATAKA,586201,IN,FALSE,,06-13-25,1140
70,405-9966506-3155561,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,696,CHENNAI,TAMIL NADU,600041,IN,FALSE,Easy Ship,06-13-25,1140
71,408-7029737-8028367,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,432,MUMBAI,MAHARASHTRA,400080,IN,FALSE,,06-13-25,1140
72,407-2189901-7515567,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,631,bangalore,KARNATAKA,560001,IN,FALSE,Easy Ship,06-13-25,1140
73,402-2105657-2899562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,316,BENGALURU,KARNATAKA,560098,IN,FALSE,,06-13-25,1140
74,406-1326801-8886709,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,362,BERHAMPUR,ODISHA,760002,IN,FALSE,Easy Ship,06-13-25,1140
75,408-7760667-5809130,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,329,HYDERABAD,TELANGANA,500085,IN,FALSE,,06-13-25,1140
76,405-8457623-9269955,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,PUNE,MAHARASHTRA,411045,IN,FALSE,,06-13-25,1140
77,408-6820155-3521913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,751,TEZPUR,ASSAM,784001,IN,FALSE,,06-13-25,1140
78,403-6190683-2687538,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,06-13-25,1140
79,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,684,Kolkata,WEST BENGAL,700048,IN,FALSE,,06-13-25,1140
80,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1281,Kolkata,WEST BENGAL,700048,IN,FALSE,,06-13-25,1140
81,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,1186,Kolkata,WEST BENGAL,700048,IN,FALSE,,06-13-25,1140
82,171-7367545-7081126,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,499,HYDERABAD,TELANGANA,502032,IN,FALSE,,06-13-25,1140
83,404-6522553-9345930,04-30-22,Cancelled,Merchant,Amazon.in,Standard,T-shirt,M,On the Way,0,INR,1105.36,DEHRADUN,UTTARAKHAND,248001,IN,FALSE,Easy Ship,06-13-25,1140
84,403-9950518-0349133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,M,Cancelled,0,,,HYDERABAD,TELANGANA,500072,IN,FALSE,,06-13-25,1140
85,407-6599093-6553153,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Socks,3XL,Shipped,1,INR,377,KOLKATA,WEST BENGAL,700078,IN,FALSE,Easy Ship,06-13-25,1140
86,403-3763475-2237125,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,M,Shipped,1,INR,744,DHARMAPURI,TAMIL NADU,636705,IN,FALSE,,06-13-25,1140
87,405-1492294-0323520,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744,DEHRADUN,UTTARAKHAND,248005,IN,FALSE,,06-13-25,1140
88,403-1162895-2484367,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XXL,Shipped,1,INR,859,JAIPUR,RAJASTHAN,303905,IN,FALSE,Easy Ship,06-13-25,1140
89,171-6833843-5473114,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,487,VADODARA,Gujarat,390019,IN,FALSE,,06-13-25,1140
90,403-1477057-8253913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Blazzer,3XL,Shipped,1,INR,825,CHAVAKKAD,KERALA,680506,IN,FALSE,,06-13-25,1140
91,408-2114413-6089906,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,680,PATNA,BIHAR,800026,IN,FALSE,,06-13-25,1140
92,405-1879750-2639521,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,725,CHENNAI,TAMIL NADU,600028,IN,FALSE,Easy Ship,06-13-25,1140
93,406-5727754-5302723,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,696,VADODARA,Gujarat,390018,IN,FALSE,,06-13-25,1140
94,405-0901744-8270705,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,499,VADODARA,Gujarat,390003,IN,FALSE,,06-13-25,1140
95,405-9112089-3379536,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Shirt,L,Cancelled,0,,,PUNE,MAHARASHTRA,411046,IN,FALSE,,06-13-25,1140
96,408-6357132-2310703,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,696,Jammu,JAMMU & KASHMIR,180011,IN,FALSE,,06-13-25,1140
97,406-5334922-9670748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,406,bangalore,KARNATAKA,560026,IN,FALSE,,06-13-25,1140
98,402-8519791-3706738,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,852,NEW DELHI,DELHI,110036,IN,FALSE,,06-13-25,1140
99,408-1830318-0357940,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,399,NARNAUND,HARYANA,125039,IN,FALSE,,06-13-25,1140
100,406-5103760-7326749,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,432,Ahmedabad,Gujarat,380051,IN,FALSE,,06-13-25,1140
101,402-7841951-1872363,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,,,NEW DELHI,DELHI,110036,IN,FALSE,,06-13-25,1140
102,408-7698765-2294756,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XXL,Shipped,1,INR,1338,AMBARNATH,MAHARASHTRA,421502,IN,FALSE,Easy Ship,06-13-25,1140
103,404-1856281-9996319,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,S,Shipped,1,INR,472,GWALIOR,MADHYA PRADESH,474005,IN,FALSE,Easy Ship,06-13-25,1140
104,406-5406738-7113145,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110078,IN,FALSE,,06-13-25,1140
105,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,XL,Shipped,1,INR,832,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship,06-13-25,1140
106,405-5257740-5301158,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,XL,Shipped,1,INR,399,ROHTAK,HARYANA,124001,IN,FALSE,Easy Ship,06-13-25,1140
107,405-2072502-4089911,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XL,Shipped,1,INR,599,ROHTAK,HARYANA,124001,IN,FALSE,,06-13-25,1140
108,405-0882561-5952340,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,692,Kolkata,WEST BENGAL,700156,IN,FALSE,,06-13-25,1140
109,403-7266170-1163500,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Trousers,M,Shipped,1,INR,518,MUMBAI,MAHARASHTRA,400076,IN,FALSE,Easy Ship,06-13-25,1140
110,405-8114272-1687512,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,788,NEW DELHI,DELHI,110034,IN,FALSE,,06-13-25,1140
111,171-6138639-1478731,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,318,HYDERABAD,TELANGANA,500054,IN,FALSE,,06-13-25,1140
112,405-4059216-4541150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,HYDERABAD,TELANGANA,500072,IN,FALSE,,06-13-25,1140
113,405-1152015-7333945,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,888,PATNA,BIHAR,800002,IN,FALSE,,06-13-25,1140
114,406-0177436-6731556,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,406,RAMAGUNDAM,TELANGANA,505211,IN,FALSE,,06-13-25,1140
115,406-0715107-8168308,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,1186,PITHORAGARH,UTTARAKHAND,262501,IN,FALSE,,06-13-25,1140
116,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,791,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,06-13-25,1140
117,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,06-13-25,1140
118,403-0104882-7373900,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,807,HIMMATNAGAR,Gujarat,383001,IN,FALSE,,06-13-25,1140
119,405-3002282-6797102,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,311,KOLKATA,WEST BENGAL,700057,IN,FALSE,,06-13-25,1140
120,407-8466904-3461908,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,387,MUMBAI,MAHARASHTRA,400101,IN,FALSE,,06-13-25,1140
121,171-3305587-5364338,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,S,Shipped,1,INR,348,HYDERABAD,TELANGANA,500053,IN,FALSE,,06-13-25,1140
122,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,597,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship,06-13-25,1140
123,406-8961316-8137943,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,549,"GUWAHATI, KAMRUP (M)",ASSAM,781014,IN,FALSE,Easy Ship,06-13-25,1140
124,171-2813040-8296320,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,3XL,Shipped,1,INR,635,KOLAR,KARNATAKA,563101,IN,FALSE,,06-13-25,1140
125,408-9845791-1393151,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,597,PATIALA,PUNJAB,147001,IN,FALSE,,06-13-25,1140
126,402-4277204-2348328,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,790,REWA,MADHYA PRADESH,486001,IN,FALSE,,06-13-25,1140
127,171-3049339-2085136,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,375,BONGAIGAON,ASSAM,783380,IN,FALSE,,06-13-25,1140
128,405-9928526-2470747,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XS,Shipped,1,INR,1115,HYDERABAD,TELANGANA,500087,IN,FALSE,,06-13-25,1140
129,405-4908072-0260360,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,579,BENGALURU,KARNATAKA,560055,IN,FALSE,Easy Ship,06-13-25,1140
130,406-3984186-5973150,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,788,Chengalpattu,TAMIL NADU,603002,IN,FALSE,,06-13-25,1140
131,171-8635309-7508346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,597,PERAMBALUR,TAMIL NADU,621212,IN,FALSE,,06-13-25,1140
132,171-0293372-4913973,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,3XL,Cancelled,0,,,KOLAR,KARNATAKA,563101,IN,FALSE,,06-13-25,1140
133,402-8288606-4313118,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,517,BILASPUR,HIMACHAL PRADESH,174001,IN,FALSE,,06-13-25,1140
134,402-8746990-6412346,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,442,CHENNAI,TAMIL NADU,600099,IN,FALSE,,06-13-25,1140
135,402-0294212-5431551,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,399,VARANASI,UTTAR PRADESH,221010,IN,FALSE,,06-13-25,1140
136,406-1530134-2105912,04-30-22,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,518,BENGALURU,KARNATAKA,560036,IN,FALSE,,06-13-25,1140
