,name,length,Left extract,long/short name,CONCATENATE,Upper case name,Lower case,Proper function,avg_rating,corrected rating,New corrected reationg,review in K,reviews_count,and,or,company_type,,Head_Quarters,,Company_Age,COMPANY DETAIL,No_of_Employee
12,Vodafone Idea,13,Vod,longname,Vodafone Idea Is great,VODAFONE IDEA,vodafone idea,Vodafone Idea,4.2,4.3,4.7,11.7k,11700,TRUE,TRUE,Public,Top Cmpny,"Gandhinagar,Gujrat + 518 more",FALSE,4,Startup,10k-50k employees India)
13,Reliance jio,12,Rel,longname,Reliance jio Is great,RELIANCE JIO,reliance jio,Reliance Jio,4,4,4,11.7k,11700,FALSE,FALSE,Public,Not Top ,"Navi Mumbai,Maharashtra + 823 more",FALSE,15,Establish,10k-50k employees India)
14,L&T,3,L&T,short name,L&T Is great,L&T,l&t,L&T,4,4,4,23.2k,23200,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 446 more",TRUE,84,Establish,10k-50k employees India)
15,IBM,3,IBM,short name,IBM Is great,IBM,ibm,Ibm,4.1,4.1,4.1,11.5k,11500,TRUE,TRUE,Public,Top Cmpny,New York + 101 more,FALSE,111,Establish,50k-1 Lakh employees India)
16,Concentrix Corpora...,21,Con,longname,Concentrix Corpora... Is great,CONCENTRIX CORPORA...,concentrix corpora...,Concentrix Corpora...,4.1,4.1,4.1,11.1k,11100,TRUE,TRUE,Public,Top Cmpny,"Fremont,California + 56 more",FALSE,39,Establish,10k-50k employees India)
17,Amazon,6,Ama,short name,Amazon Is great,AMAZON,amazon,Amazon,4.2,4.2,4.2,10.6k,10600,TRUE,TRUE,Private,Top Cmpny,"Seattle,Washington + 295 more",FALSE,28,Establish,10k-50k employees India)
18,HDB Financial Serv...,21,HDB,longname,HDB Financial Serv... Is great,HDB FINANCIAL SERV...,hdb financial serv...,Hdb Financial Serv...,4,4,4,10.1k,10100,FALSE,FALSE,Private,Not Top ,"Ahmedabad,Gujrat + 644 more",FALSE,15,Establish,1 Lakh+ employees India)
19,Kotak Mahindra Ban...,21,Kot,longname,Kotak Mahindra Ban... Is great,KOTAK MAHINDRA BAN...,kotak mahindra ban...,Kotak Mahindra Ban...,3.9,3.9,3.9,10.4k,10400,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 424 more",TRUE,19,Establish,10k-50k employees India)
20,Teleperformance,15,Tel,longname,Teleperformance Is great,TELEPERFORMANCE,teleperformance,Teleperformance,3.6,3.6,3.6,7.7k,7700,FALSE,FALSE,Private,Not Top ,Paris + 94 more,FALSE,44,Establish,50k-1 Lakh employees India)
21,Tata Motors,11,Tat,longname,Tata Motors Is great,TATA MOTORS,tata motors,Tata Motors,4.1,4.1,4.1,7.5k,7500,FALSE,TRUE,Public,Not Top ,"Pune,Maharashtra + 350 more",FALSE,77,Establish,50k-1 Lakh employees India)
22,Bharti Airtel,13,Bha,longname,Bharti Airtel Is great,BHARTI AIRTEL,bharti airtel,Bharti Airtel,4.1,4.1,4.1,10.1k,10100,TRUE,TRUE,Public,Top Cmpny,"Gurgaon/Gurugram,Haryana + 427 more",FALSE,27,Establish,5k-10k employees India)
23,Reliance Industrie...,21,Rel,longname,Reliance Industrie... Is great,RELIANCE INDUSTRIE...,reliance industrie...,Reliance Industrie...,4,4,4,30.1k,30100,FALSE,FALSE,Public,Not Top ,"Navi Mumbai,Maharashtra + 357 more",FALSE,49,Establish,1 Lakh+ employees India)
24,Deloitte,8,Del,short name,Deloitte Is great,DELOITTE,deloitte,Deloitte,4,4,4,6.4k,6400,FALSE,FALSE,Private,Not Top ,"New York,New York + 112 more",FALSE,177,Establish,10k-50k employees India)
25,Mahindra & Mahindr...,21,Mah,longname,Mahindra & Mahindr... Is great,MAHINDRA & MAHINDR...,mahindra & mahindr...,Mahindra & Mahindr...,4.1,4.1,4.1,16.3k,16300,TRUE,TRUE,Public,Top Cmpny,"Mumbai,Maharashtra + 352 more",TRUE,77,Establish,10k-50k employees India)
26,IndusInd Bank,13,Ind,longname,IndusInd Bank Is great,INDUSIND BANK,indusind bank,Indusind Bank,3.8,3.8,3.8,5.4k,5400,FALSE,FALSE,Public,Not Top ,"Gurgaon/Gurugram,Haryana + 481 more",FALSE,28,Establish,10k-50k employees India)
27,Reliance Retail,15,Rel,longname,Reliance Retail Is great,RELIANCE RETAIL,reliance retail,Reliance Retail,4,4,4,9.6k,9600,FALSE,FALSE,Private,Not Top ,"Navi Mumbai,Maharashtra + 389 more",FALSE,16,Establish,1 Lakh+ employees India)
28,Hinduja Global Sol...,21,Hin,longname,Hinduja Global Sol... Is great,HINDUJA GLOBAL SOL...,hinduja global sol...,Hinduja Global Sol...,3.9,3.9,3.9,5.1k,5100,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 69 more",TRUE,22,Establish,10k-50k employees India)
29,WNS,3,WNS,short name,WNS Is great,WNS,wns,Wns,3.7,3.7,3.7,4.9k,4900,FALSE,FALSE,Private,Not Top ,"Mumbai,Maharashtra + 19 more",TRUE,26,Establish,10k-50k employees India)
30,Samsung,7,Sam,short name,Samsung Is great,SAMSUNG,samsung,Samsung,4.1,4.1,4.1,5.5k,5500,FALSE,TRUE,Private,Not Top ,"Suwon-Si,Gyeonggi-Do + 389 more",FALSE,84,Establish,50k-1 Lakh employees India)
31,Maruti Suzuki,13,Mar,longname,Maruti Suzuki Is great,MARUTI SUZUKI,maruti suzuki,Maruti Suzuki,4.1,4.1,4.1,4.8k,4800,FALSE,TRUE,Public,Not Top ,"New Delhi,Delhi + 342 more",FALSE,39,Establish,10k-50k employees India)
32,DXC Technology,14,DXC,longname,DXC Technology Is great,DXC TECHNOLOGY,dxc technology,Dxc Technology,3.7,3.7,3.7,5.0k,5000,FALSE,FALSE,Public,Not Top ,Virginia + 49 more,FALSE,31,Establish,10k-50k employees India)
33,Infosys BPM,11,Inf,longname,Infosys BPM Is great,INFOSYS BPM,infosys bpm,Infosys Bpm,4,4,4,4.3k,4300,FALSE,FALSE,"Bangalore/Bengaluru,Karnataka + 36 more",Not Top ,20,FALSE,10k-50k employees India),Establish,
34,Ericsson,8,Eri,short name,Ericsson Is great,ERICSSON,ericsson,Ericsson,4.2,4.2,4.2,4.1k,4100,FALSE,TRUE,Private,Not Top ,"Kista,Stockholm + 121 more",FALSE,146,Establish,10k-50k employees India)
35,Ernst & Young,13,Ern,longname,Ernst & Young Is great,ERNST & YOUNG,ernst & young,Ernst & Young,3.8,3.8,3.8,4.1k,4100,FALSE,FALSE,Private,Not Top ,London + 59 more,FALSE,20,Establish,50k-1 Lakh employees India)
36,Bajaj Finserv,13,Baj,longname,Bajaj Finserv Is great,BAJAJ FINSERV,bajaj finserv,Bajaj Finserv,4.1,4.1,4.1,10.6k,10600,TRUE,TRUE,Public,Top Cmpny,Pune + 552 more,FALSE,15,Establish,10k-50k employees India)
37,HSBC,4,HSB,short name,HSBC Is great,HSBC,hsbc,Hsbc,4.1,4.1,4.1,4.3k,4300,FALSE,TRUE,Private,Not Top ,"Pune,Maharashtra + 49 more",FALSE,20,Establish,10k-50k employees India)
38,Startek,7,Sta,short name,Startek Is great,STARTEK,startek,Startek,3.5,3.5,3.5,3.9k,3900,FALSE,FALSE,"Mumbai,Maharashtra + 46 more",Not Top ,5,FALSE,1k-5k employees India),Establish,
39,Conneqt Business S...,21,Con,longname,Conneqt Business S... Is great,CONNEQT BUSINESS S...,conneqt business s...,Conneqt Business S...,3.8,3.8,3.8,3.9k,3900,FALSE,FALSE,"Mumbai,Maharashtra + 132 more",Not Top ,20,FALSE,10k-50k employees India),Establish,
40,Jana Small Finance...,21,Jan,longname,Jana Small Finance... Is great,JANA SMALL FINANCE...,jana small finance...,Jana Small Finance...,3.9,3.9,3.9,3.8k,3800,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 279 more",TRUE,16,Establish,10k-50k employees India)
41,Dr. Reddy's,11,Dr.,longname,Dr. Reddy's Is great,DR. REDDY'S,dr. reddy's,Dr. Reddy'S,4.2,4.2,4.2,3.9k,3900,FALSE,TRUE,Public,Not Top ,"Hyderabad/Secunderabad,Telangana + 118 more",FALSE,36,Establish,10k-50k employees India)
42,Cipla Pharmaceutic...,21,Cip,longname,Cipla Pharmaceutic... Is great,CIPLA PHARMACEUTIC...,cipla pharmaceutic...,Cipla Pharmaceutic...,4,4,4,3.8k,3800,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 173 more",TRUE,87,Establish,10k-50k employees India)
43,Sutherland Global ...,21,Sut,longname,Sutherland Global ... Is great,SUTHERLAND GLOBAL ...,sutherland global ...,Sutherland Global ...,3.8,3.8,3.8,4.1k,4100,FALSE,FALSE,Private,Not Top ,"Pittsford,New York + 38 more",FALSE,36,Establish,10k-50k employees India)
44,ICICI Prudential L...,21,ICI,longname,ICICI Prudential L... Is great,ICICI PRUDENTIAL L...,icici prudential l...,Icici Prudential L...,4.1,4.1,4.1,3.7k,3700,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 372 more",TRUE,22,Establish,10k-50k employees India)
45,Indian Army,11,Ind,longname,Indian Army Is great,INDIAN ARMY,indian army,Indian Army,4.7,4.7,4.7,3.6k,3600,FALSE,TRUE,"New Delhi,Delhi + 247 more",Not Top ,127,FALSE,1 Lakh+ employees India),Establish,
46,Mphasis,7,Mph,short name,Mphasis Is great,MPHASIS,mphasis,Mphasis,3.8,3.8,3.8,3.6k,3600,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 37 more",TRUE,22,Establish,1k-5k employees India)
47,IDFC FIRST Bank,15,IDF,longname,IDFC FIRST Bank Is great,IDFC FIRST BANK,idfc first bank,Idfc First Bank,3.9,4,4.4,3.5k,3500,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 278 more",TRUE,4,Startup,10k-50k employees India)
48,Bajaj Allianz Life...,21,Baj,longname,Bajaj Allianz Life... Is great,BAJAJ ALLIANZ LIFE...,bajaj allianz life...,Bajaj Allianz Life...,4.1,4.1,4.1,3.5k,3500,FALSE,TRUE,Private,Not Top ,Pune + 387 more,FALSE,21,Establish,10k-50k employees India)
49,Home Credit Financ...,21,Hom,longname,Home Credit Financ... Is great,HOME CREDIT FINANC...,home credit financ...,Home Credit Financ...,4.3,4.3,4.8,3.5k,3500,FALSE,TRUE,Private,Not Top ,Gurugram + 94 more,FALSE,10,Startup,10k-50k employees India)
50,Lupin,5,Lup,short name,Lupin Is great,LUPIN,lupin,Lupin,4.2,4.2,4.2,3.4k,3400,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 118 more",TRUE,54,Establish,10k-50k employees India)
51,Yes Bank,8,Yes,short name,Yes Bank Is great,YES BANK,yes bank,Yes Bank,3.9,3.9,3.9,3.4k,3400,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 306 more",TRUE,18,Establish,10k-50k employees India)
52,Asian Paints,12,Asi,longname,Asian Paints Is great,ASIAN PAINTS,asian paints,Asian Paints,4.2,4.2,4.2,3.8k,3800,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 283 more",TRUE,80,Establish,5k-10k employees India)
53,HDFC LIFE,9,HDF,short name,HDFC LIFE Is great,HDFC LIFE,hdfc life,Hdfc Life,4.1,4.1,4.1,3.3k,3300,FALSE,TRUE,"Mumbai,Maharashtra + 360 more",Not Top ,22,FALSE,10k-50k employees India),Establish,
54,ITC,3,ITC,short name,ITC Is great,ITC,itc,Itc,3.9,3.9,3.9,5.7k,5700,FALSE,FALSE,Public,Not Top ,"Kolkata,West Bengal + 199 more",FALSE,47,Establish,10k-50k employees India)
55,Intelenet Global S...,21,Int,longname,Intelenet Global S... Is great,INTELENET GLOBAL S...,intelenet global s...,Intelenet Global S...,3.7,3.7,3.7,3.2k,3200,FALSE,FALSE,Private,Not Top ,"Mumbai,Maharashtra + 55 more",TRUE,22,Establish,10k-50k employees India)
56,NTT DATA,8,NTT,short name,NTT DATA Is great,NTT DATA,ntt data,Ntt Data,3.9,3.9,3.9,3.4k,3400,FALSE,FALSE,Private,Not Top ,"Chiyoda City,Tokyo + 31 more",FALSE,34,Establish,10k-50k employees India)
57,Hewlett-Packard En...,21,Hew,longname,Hewlett-Packard En... Is great,HEWLETT-PACKARD EN...,hewlett-packard en...,Hewlett-Packard En...,4.3,4.3,4.3,3.1k,3100,FALSE,TRUE,Private,Not Top ,"Palo Alto,California + 77 more",FALSE,83,Establish,10k-50k employees India)
58,Zydus Cadila,12,Zyd,longname,Zydus Cadila Is great,ZYDUS CADILA,zydus cadila,Zydus Cadila,4.1,4.1,4.1,3.8k,3800,FALSE,TRUE,Public,Not Top ,"Ahmedabad, India + 122 more",FALSE,70,Establish,10k-50k employees India)
59,OPPO,4,OPP,short name,OPPO Is great,OPPO,oppo,Oppo,4,4,4,3.1k,3100,FALSE,FALSE,Public,Not Top ,"Dongguan,Guangdong + 288 more",FALSE,18,Establish,10k-50k employees India)
60,Bajaj Finance,13,Baj,longname,Bajaj Finance Is great,BAJAJ FINANCE,bajaj finance,Bajaj Finance,4.2,4.2,4.2,3.0k,3000,FALSE,TRUE,Private,Not Top ,"Pune,Maharashtra + 534 more",FALSE,35,Establish,1k-5k employees India)
61,EXL Service,11,EXL,longname,EXL Service Is great,EXL SERVICE,exl service,Exl Service,3.8,3.8,3.8,3.8k,3800,FALSE,FALSE,Private,Not Top ,"New York,New York + 28 more",FALSE,23,Establish,10k-50k employees India)
62,Reliance Communica...,21,Rel,longname,Reliance Communica... Is great,RELIANCE COMMUNICA...,reliance communica...,Reliance Communica...,4,4,4,3.2k,3200,FALSE,FALSE,Public,Not Top ,"Navi Mumbai,Maharashtra + 350 more",FALSE,20,Establish,10k-50k employees India)
63,Hindustan Unilever...,21,Hin,longname,Hindustan Unilever... Is great,HINDUSTAN UNILEVER...,hindustan unilever...,Hindustan Unilever...,4.4,4.4,4.4,3.3k,3300,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 301 more",TRUE,89,Establish,10k-50k employees India)
64,Ujjivan Small Fina...,21,Ujj,longname,Ujjivan Small Fina... Is great,UJJIVAN SMALL FINA...,ujjivan small fina...,Ujjivan Small Fina...,4.1,4.2,4.6,2.9k,2900,FALSE,TRUE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 337 more",TRUE,5,Startup,10k-50k employees India)
65,Udaan,5,Uda,short name,Udaan Is great,UDAAN,udaan,Udaan,4.2,4.3,4.7,2.9k,2900,FALSE,TRUE,Private,Not Top ,Bangalore + 265 more,TRUE,6,Startup,1k-5k employees India)
66,Ashok Leyland,13,Ash,longname,Ashok Leyland Is great,ASHOK LEYLAND,ashok leyland,Ashok Leyland,4.1,4.1,4.1,3.4k,3400,FALSE,TRUE,Public,Not Top ,"Chennai,Tamil Nadu + 170 more",FALSE,74,Establish,10k-50k employees India)
67,Future Group,12,Fut,longname,Future Group Is great,FUTURE GROUP,future group,Future Group,4.1,4.2,4.6,8.6k,8600,FALSE,TRUE,Private,Not Top ,"Mumbai,Maharashtra + 184 more",TRUE,9,Startup,50k-1 Lakh employees India)
68,Shapoorji Pallonji,18,Sha,longname,Shapoorji Pallonji Is great,SHAPOORJI PALLONJI,shapoorji pallonji,Shapoorji Pallonji,4.3,4.3,4.3,4.2k,4200,FALSE,TRUE,Private,Not Top ,"Mumbai,Maharashtra + 122 more",TRUE,157,Establish,1k-5k employees India)
69,UltraTech Cement,16,Ult,longname,UltraTech Cement Is great,ULTRATECH CEMENT,ultratech cement,Ultratech Cement,4.2,4.2,4.2,3.0k,3000,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 272 more",TRUE,39,Establish,10k-50k employees India)
70,Mahindra & Mahindr...,21,Mah,longname,Mahindra & Mahindr... Is great,MAHINDRA & MAHINDR...,mahindra & mahindr...,Mahindra & Mahindr...,4.3,4.3,4.3,2.8k,2800,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 492 more",TRUE,31,Establish,10k-50k employees India)
71,Shriram Transport ...,21,Shr,longname,Shriram Transport ... Is great,SHRIRAM TRANSPORT ...,shriram transport ...,Shriram Transport ...,4.2,4.2,4.2,3.1k,3100,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 560 more",TRUE,43,Establish,10k-50k employees India)
72,Apollo Hospitals,16,Apo,longname,Apollo Hospitals Is great,APOLLO HOSPITALS,apollo hospitals,Apollo Hospitals,4,4,4,4.3k,4300,FALSE,FALSE,Public,Not Top ,"Chennai,Tamil Nadu + 148 more",FALSE,39,Establish,50k-1 Lakh employees India)
73,Paytm,5,Pay,short name,Paytm Is great,PAYTM,paytm,Paytm,3.7,3.7,3.7,3.3k,3300,FALSE,FALSE,Private,Not Top ,Noida + 200 more,FALSE,12,Establish,10k-50k employees India)
74,Sun Pharmaceutical...,21,Sun,longname,Sun Pharmaceutical... Is great,SUN PHARMACEUTICAL...,sun pharmaceutical...,Sun Pharmaceutical...,4,4,4,3.0k,3000,FALSE,FALSE,Public,Not Top ,Mumbai + 128 more,TRUE,39,Establish,10k-50k employees India)
75,IIFL,4,IIF,short name,IIFL Is great,IIFL,iifl,Iifl,3.8,3.8,3.8,2.8k,2800,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 378 more",TRUE,27,Establish,5k-10k employees India)
76,Larsen & Toubro In...,21,Lar,longname,Larsen & Toubro In... Is great,LARSEN & TOUBRO IN...,larsen & toubro in...,Larsen & Toubro In...,3.9,3.9,3.9,2.8k,2800,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 73 more",TRUE,26,Establish,10k-50k employees India)
77,BYJU'S,6,BYJ,short name,BYJU'S Is great,BYJU'S,byju's,Byju'S,3.3,3.3,3.3,3.1k,3100,FALSE,FALSE,Private,Not Top ,Bangalore + 105 more,TRUE,11,Establish,1k-5k employees India)
78,Vivo,4,Viv,short name,Vivo Is great,VIVO,vivo,Vivo,4.1,4.1,4.1,2.7k,2700,FALSE,TRUE,Private,Not Top ,"Gurgaon/Gurugram,Haryana + 288 more",FALSE,13,Establish,5k-10k employees India)
79,Aurobindo Pharma,16,Aur,longname,Aurobindo Pharma Is great,AUROBINDO PHARMA,aurobindo pharma,Aurobindo Pharma,4.1,4.1,4.1,2.8k,2800,FALSE,TRUE,Public,Not Top ,"Hyderabad/Secunderabad,Telangana + 42 more",FALSE,36,Establish,1k-5k employees India)
80,Wipro BPS,9,Wip,short name,Wipro BPS Is great,WIPRO BPS,wipro bps,Wipro Bps,3.8,3.8,3.8,2.6k,2600,FALSE,FALSE,Bengaluru + 33 more,Not Top ,1 Lakh+ employees India),FALSE,22,Establish,
81,Nokia,5,Nok,short name,Nokia Is great,NOKIA,nokia,Nokia,4.3,4.3,4.3,2.6k,2600,FALSE,TRUE,Private,Not Top ,"Espoo,Southern Finland + 160 more",FALSE,157,Establish,10k-50k employees India)
82,PwC,3,PwC,short name,PwC Is great,PWC,pwc,Pwc,3.6,3.6,3.6,2.6k,2600,FALSE,FALSE,Partnership,Not Top ,London + 57 more,FALSE,24,Establish,5k-10k employees India)
83,Oyo Rooms,9,Oyo,short name,Oyo Rooms Is great,OYO ROOMS,oyo rooms,Oyo Rooms,3.6,3.7,4.1,2.6k,2600,FALSE,TRUE,Private,Not Top ,Gurgaon + 98 more,FALSE,9,Startup,1k-5k employees India)
84,Siemens,7,Sie,short name,Siemens Is great,SIEMENS,siemens,Siemens,4.1,4.1,4.1,2.6k,2600,FALSE,TRUE,Public,Not Top ,Munich + 90 more,FALSE,30,Establish,1k-5k employees India)
85,TVS Motor,9,TVS,short name,TVS Motor Is great,TVS MOTOR,tvs motor,Tvs Motor,4.1,4.1,4.1,2.7k,2700,FALSE,TRUE,Public,Not Top ,"Chennai,Tamil Nadu + 214 more",FALSE,43,Establish,5k-10k employees India)
86,KPMG,4,KPM,short name,KPMG Is great,KPMG,kpmg,Kpmg,3.7,3.7,3.7,2.5k,2500,FALSE,FALSE,Partnership,Not Top ,"Amstelveen,North Holland + 47 more",FALSE,35,Establish,10k-50k employees India)
87,eClerx,6,eCl,short name,eClerx Is great,ECLERX,eclerx,Eclerx,3.6,3.6,3.6,2.4k,2400,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 15 more",TRUE,22,Establish,5k-10k employees India)
88,JP Morgan Chase,15,JP ,longname,JP Morgan Chase Is great,JP MORGAN CHASE,jp morgan chase,Jp Morgan Chase,4.1,4.1,4.1,2.4k,2400,FALSE,TRUE,Private,Not Top ,"New York,New York + 16 more",FALSE,22,Establish,10k-50k employees India)
89,Max Life Insurance,18,Max,longname,Max Life Insurance Is great,MAX LIFE INSURANCE,max life insurance,Max Life Insurance,4.2,4.2,4.2,2.4k,2400,FALSE,TRUE,"Gurgaon/Gurugram,Haryana + 233 more",Not Top ,10k-50k employees India),FALSE,22,Establish,
90,Hero MotoCorp,13,Her,longname,Hero MotoCorp Is great,HERO MOTOCORP,hero motocorp,Hero Motocorp,4.2,4.2,4.2,2.4k,2400,FALSE,TRUE,Public,Not Top ,"Gurgaon/Gurugram,Haryana + 231 more",FALSE,38,Establish,5k-10k employees India)
91,Cyient,6,Cyi,short name,Cyient Is great,CYIENT,cyient,Cyient,3.7,3.7,3.7,2.3k,2300,FALSE,FALSE,Public,Not Top ,"Hyderabad/Secunderabad,Telangana + 25 more",FALSE,31,Establish,10k-50k employees India)
92,Hyundai Motor,13,Hyu,longname,Hyundai Motor Is great,HYUNDAI MOTOR,hyundai motor,Hyundai Motor,4.1,4.1,4.1,3.1k,3100,FALSE,TRUE,Private,Not Top ,Seoul + 200 more,FALSE,55,Establish,5k-10k employees India)
93,Mindtree,8,Min,short name,Mindtree Is great,MINDTREE,mindtree,Mindtree,4,4,4,2.3k,2300,FALSE,FALSE,Public,Not Top ,"Bangalore/Bengaluru,Karnataka + 20 more",TRUE,23,Establish,10k-50k employees India)
94,Bandhan Bank,12,Ban,longname,Bandhan Bank Is great,BANDHAN BANK,bandhan bank,Bandhan Bank,3.9,3.9,3.9,2.5k,2500,FALSE,FALSE,Public,Not Top ,"Kolkata,West Bengal + 415 more",FALSE,21,Establish,10k-50k employees India)
95,Atos Syntel,11,Ato,longname,Atos Syntel Is great,ATOS SYNTEL,atos syntel,Atos Syntel,3.7,3.7,3.7,3.8k,3800,FALSE,FALSE,Private,Not Top ,"Troy,Michigan + 14 more",FALSE,42,Establish,10k-50k employees India)
96,Oracle,6,Ora,short name,Oracle Is great,ORACLE,oracle,Oracle,3.8,3.8,3.8,2.9k,2900,FALSE,FALSE,Public,Not Top ,"Redwood City,California + 26 more",FALSE,45,Establish,10k-50k employees India)
97,JLL,3,JLL,short name,JLL Is great,JLL,jll,Jll,4.2,4.2,4.2,2.3k,2300,FALSE,TRUE,Private,Not Top ,"Mumbai,Maharashtra + 53 more",TRUE,25,Establish,10k-50k employees India)
98,JustDial,8,Jus,short name,JustDial Is great,JUSTDIAL,justdial,Justdial,3.6,3.6,3.6,2.3k,2300,FALSE,FALSE,Public,Not Top ,"Mumbai,Maharashtra + 110 more",TRUE,26,Establish,10k-50k employees India)
99,Bosch,5,Bos,short name,Bosch Is great,BOSCH,bosch,Bosch,4.2,4.2,4.2,2.5k,2500,FALSE,TRUE,Public,Not Top ,"Gerlingen,Baden-Wuerttemberg + 74 more",FALSE,136,Establish,10k-50k employees India)
100,Fidelity National ...,21,Fid,longname,Fidelity National ... Is great,FIDELITY NATIONAL ...,fidelity national ...,Fidelity National ...,4,4,4,2.4k,2400,FALSE,FALSE,Private,Not Top ,"Jacksonville,Florida + 27 more",FALSE,17,Establish,10k-50k employees India)
101,Tata Projects,13,Tat,longname,Tata Projects Is great,TATA PROJECTS,tata projects,Tata Projects,4.2,4.2,4.2,2.2k,2200,FALSE,TRUE,Public,Not Top ,"Mumbai,Maharashtra + 165 more",TRUE,43,Establish,1k-5k employees India)
102,Wipro Consumer Ca...,20,Wip,longname,Wipro Consumer Ca... Is great,WIPRO CONSUMER CA...,wipro consumer ca...,Wipro Consumer Ca...,3.8,3.8,3.8,2.8k,2800,FALSE,FALSE,Private,Not Top ,"Bangalore/Bengaluru,Karnataka + 63 more",TRUE,77,Establish,1k-5k employees India)
103,Axis Direct,11,Axi,longname,Axis Direct Is great,AXIS DIRECT,axis direct,Axis Direct,4,4,4,2.2k,2200,FALSE,FALSE,Private,Not Top ,"Mumbai,Maharashtra + 261 more",TRUE,11,Establish,1k-5k employees India)
