VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXTA6C02N,Kitsap,Bainbridge Island,WA,98110,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,209660433,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
1N4AZ0CP9F,King,Seattle,WA,98115,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,46,139798599,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
YV4H60CF8R,Snohomish,Stanwood,WA,98292,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,10,258940244,POINT (-122.326873 48.2144825),PUGET SOUND ENERGY INC,53061053202
5YJ3E1EA0L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,2183366,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052107
WP0AC2Y15L,King,Seattle,WA,98102,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,192,0,43,263047151,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006100
1C4JJXR6XN,Yakima,Yakima,WA,98902,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,15,203574969,POINT (-120.530331 46.59534),PACIFICORP,53077001100
5UXTA6C00M,Thurston,Olympia,WA,98501,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22,166391123,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ0CP7E,Kitsap,Bremerton,WA,98311,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,198137824,POINT (-122.636245 47.62806),PUGET SOUND ENERGY INC,53035091500
5YJ3E1EB1P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,224408579,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
KM8K53AG2L,Kitsap,Port Orchard,WA,98366,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,26,131203187,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092300
5YJ3E1EBXN,Thurston,Olympia,WA,98502,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,252723138,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
YV4BR0DM8N,Kitsap,Poulsbo,WA,98370,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,182754120,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090501
5YJXCAE22L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,1,209983889,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EA6N,Thurston,Olympia,WA,98501,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,200610329,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
5YJSA1H16F,Snohomish,Lynnwood,WA,98087,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,21,5999080,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EB3K,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478641796,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041703
1FTVW1EV9P,Yakima,Yakima,WA,98901,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,230080511,POINT (-120.4688751 46.6046178),PACIFICORP,53077001602
3C3CFFGEXF,Thurston,Olympia,WA,98506,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,22,350197970,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010200
3C3CFFGE7F,Thurston,Olympia,WA,98512,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,35,285123072,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067012730
WVGDMPE24M,Yakima,Yakima,WA,98903,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,151371216,POINT (-120.5807155 46.5654909),PACIFICORP,53077002803
WBY1Z6C39H,King,Renton,WA,98056,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,11,144155868,POINT (-122.1819876 47.5098889),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401
1FT6W1EVXN,Thurston,Olympia,WA,98512,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,229848937,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011901
1G1RB6E4XF,Snohomish,Monroe,WA,98272,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,39,160637802,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052208
5YJSA1E26G,Snohomish,Lake Stevens,WA,98258,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,44,143610449,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052505
JTMFB3FV6R,Whitman,Pullman,WA,99163,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,9,265023391,POINT (-117.1770648 46.7329687),AVISTA CORP,53075000400
5YJSA1E27K,Yakima,Yakima,WA,98902,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,15,474882180,POINT (-120.530331 46.59534),PACIFICORP,53077000301
5YJ3E1EB2J,King,Seattle,WA,98134,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,224574647,POINT (-122.3290729 47.5773571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJ3E1EB8J,King,Medina,WA,98039,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,166370725,POINT (-122.2363532 47.621118),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024200
KNDPUCAFXP,Yakima,Yakima,WA,98902,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,14,220481411,POINT (-120.530331 46.59534),PACIFICORP,53077000500
1N4BZ0CP2H,King,Kent,WA,98042,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,47,174497767,POINT (-122.1145138 47.3581107),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031704
5UXTA6C08P,Snohomish,Bothell,WA,98021,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,214796326,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051926
WAUTPBFF6H,Kitsap,Bainbridge Island,WA,98110,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,23,113291041,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090901
1N4AZ0CP5D,Thurston,Olympia,WA,98502,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,246351927,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
5YJSA1E2XJ,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,1,274533472,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052010
1N4BZ1CP3K,Yakima,Yakima,WA,98902,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,14,9074544,POINT (-120.530331 46.59534),PACIFICORP,53077000800
5UXTA6C07M,King,Seattle,WA,98116,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,34,241528850,POINT (-122.395519 47.572137),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009702
WDC0G5EB9K,Yakima,Yakima,WA,98902,2019,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,10,0,14,202971828,POINT (-120.530331 46.59534),PACIFICORP,53077000800
5YJXCBE24L,Thurston,Olympia,WA,98502,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,35,6411107,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902
7SAYGDEE2P,Kitsap,Bremerton,WA,98312,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,260336170,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080600
5YJ3E1EA3P,Kitsap,Bremerton,WA,98310,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,230680012,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080102
1N4AZ0CP2D,Yakima,Yakima,WA,98903,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,14,150126840,POINT (-120.5807155 46.5654909),PACIFICORP,53077003003
5YJYGDEF8M,Snohomish,Bothell,WA,98012,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,262832153,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052009
1N4BZ0CP8H,Snohomish,Bothell,WA,98012,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,187675365,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061051921
KNDRMDLH5P,Thurston,Olympia,WA,98501,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,255390327,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011721
5UXTA6C0XP,Snohomish,Bothell,WA,98012,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,228271802,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052007
7SAYGDEE2P,Thurston,Lacey,WA,98516,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,260827661,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012226
5YJ3E1EB2L,Thurston,Olympia,WA,98501,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,35,128798624,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011722
2T3YL4DVXE,Thurston,Olympia,WA,98506,2014,TOYOTA,RAV4,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,103,0,22,350029942,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EB8L,King,Seattle,WA,98115,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,43,126031790,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002600
5YJYGDEE3L,Snohomish,Mukilteo,WA,98275,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,112524030,POINT (-122.29943 47.912654),PUGET SOUND ENERGY INC,53061042005
3C3CFFGE9G,King,Seattle,WA,98118,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,242678908,POINT (-122.2753318 47.5411053),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010200
1G1RC6S53H,Kitsap,Suquamish,WA,98392,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,132703973,POINT (-122.5591128 47.7346457),PUGET SOUND ENERGY INC,53035940100
YV4BR0DL8N,Thurston,Olympia,WA,98502,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22,192758177,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067010600
JN1AZ0CP8C,Kitsap,Silverdale,WA,98383,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,220447041,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201
1N4AZ1CP0K,Thurston,Olympia,WA,98516,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,476232410,POINT (-122.78083 47.083975),PUGET SOUND ENERGY INC,53067012225
5YJ3E1EB4K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,339439474,POINT (-120.611068 46.596645),PACIFICORP,53077000401
5YJXCBE21H,Kitsap,Port Orchard,WA,98367,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,26,172534043,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092701
1N4AZ1CPXK,Kitsap,Kingston,WA,98346,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,107149388,POINT (-122.5178351 47.7981436),PUGET SOUND ENERGY INC,53035090102
1N4AZ1CP4K,Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,35,477065543,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092000
WMZYU7C51K,Yakima,Yakima,WA,98902,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,14,146830148,POINT (-120.530331 46.59534),PACIFICORP,53077001000
1FADP5CU6D,Kitsap,Bremerton,WA,98310,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,107184339,POINT (-122.6231895 47.5930874),PUGET SOUND ENERGY INC,53035080102
5YJ3E1EA7J,King,Seattle,WA,98112,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,318326844,POINT (-122.300312 47.629782),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006200
5YJ3E1EBXM,Yakima,Moxee,WA,98936,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,156750023,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
1N4BZ0CP7H,King,Redmond,WA,98052,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,48,104846059,POINT (-122.1207376 47.6705374),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803
1N4AZ0CP7E,King,Kent,WA,98030,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,47,228237817,POINT (-122.1994204 47.3741045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029507
WMW13DJ0XN,Kitsap,Bremerton,WA,98312,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,182621386,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035092000
WA1VAAGE8K,Kitsap,Port Orchard,WA,98367,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,26,263134035,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092704
1C4JJXR67P,Thurston,Lacey,WA,98513,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,237679039,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067011623
1G1FW6S05H,Yakima,Yakima,WA,98901,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,15,137600732,POINT (-120.4688751 46.6046178),PACIFICORP,53077001602
JN1AZ0CP3B,Walla Walla,Walla Walla,WA,99362,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,136226352,POINT (-118.3377489 46.0625736),PACIFICORP,53071920200
1N4AZ0CP9E,Walla Walla,Walla Walla,WA,99362,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,16,225971658,POINT (-118.3377489 46.0625736),PACIFICORP,53071920901
3C3CFFGE3H,King,Vashon,WA,98070,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,111677037,POINT (-122.466938 47.429244),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701
JTDKN3DP5D,Kittitas,Cle Elum,WA,98922,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,13,260551063,POINT (-120.9347811 47.1944758),PUGET SOUND ENERGY INC,53037975102
JA4J24A55L,Snohomish,Everett,WA,98208,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,44,106207307,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061052121
KNDRMDLH3N,Douglas,East Wenatchee,WA,98802,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,12,183095818,POINT (-120.2609057 47.4167133),PUD NO 1 OF DOUGLAS COUNTY,53017950500
5YJXCAE21K,Snohomish,Everett,WA,98204,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21,260985287,POINT (-122.2507211 47.8976713),PUGET SOUND ENERGY INC,53061041812
5UXKT0C50G,King,Kent,WA,98031,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,47,120864250,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029504
5YJYGDEF3L,Snohomish,Woodway,WA,98020,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,32,111588669,POINT (-122.3757836 47.800042),PUGET SOUND ENERGY INC,53061050600
JTDKARFP5H,Grant,Quincy,WA,98848,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,13,205581071,POINT (-119.8619179 47.2248994),PUD NO 2 OF GRANT COUNTY,53025010500
1G1RB6E42E,Chelan,Wenatchee,WA,98801,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,12,145810759,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007961001
1N4AZ1CP8J,Snohomish,Lynnwood,WA,98087,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,21,312849638,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061051804
